OBJECTID,ROCK_NAME,ROCK_TYPE,AQ_NAME,AQ_CODE,Shape_Leng,Shape_Area,observed
2674,Carbonate-rock aquifers,400,Castle Hayne aquifer,418,0.90278452464,0.01312805088,
2100,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,62.3483785629,5.92282714795,
3332,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501,31.5718319927,9.25734879838,
18,,999,Other rocks,999,22.7520680218,1.47932340229,
808,Igneous and metamorphic-rock aquifers,600,Snake River Plain basaltic-rock aquifers,606,17.2721284754,2.37041505624,
2982,,999,Other rocks,999,2.73265806701,0.07008677158,
1553,Sandstone aquifers,300,Pennsylvanian aquifers,310,0.01799057598,1.472811e-05,
2103,,999,Other rocks,999,1.67755432113,0.02986722106,
3024,Sandstone and carbonate-rock aquifers,500,Valley and Ridge carbonate-rock aquifers,505,1.00614939717,0.01252816246,
2871,Semiconsolidated sand aquifers,200,Southeastern Coastal Plain aquifer system,204,0.6467438146,0.01420908405,
268,Unconsolidated sand and gravel aquifers,100,Columbia Plateau basin-fill aquifers,116,29.771940106,2.34622875767,
2714,,999,Other rocks,999,0.06851006909,0.00033347418,
640,,999,Other rocks,999,14.250211358,0.78605330709,
156,,999,Other rocks,999,0.02439938393,2.915122e-05,
309,Unconsolidated sand and gravel aquifers,100,Pacific Northwest basin-fill aquifers,104,1.70780510151,0.02485833567,
496,Unconsolidated sand and gravel aquifers,100,Willamette Lowland basin-fill aquifers,115,23.4088969688,1.00026182695,
537,Unconsolidated sand and gravel aquifers,100,Columbia Plateau basin-fill aquifers,116,4.98892405551,0.13772180417,
580,Unconsolidated sand and gravel aquifers,100,Northern Rocky Mountains Intermontane Basins aquifer system,105,24.4550361125,0.94381028222,
1416,Sandstone aquifers,300,Lower Tertiary aquifers,314,1.88069526764,0.12212871848,
1458,Sandstone aquifers,300,Pennsylvanian aquifers,310,4.43056179494,0.1028211293,
841,Unconsolidated sand and gravel aquifers,100,Snake River Plain basin-fill aquifers,117,17.566610619,1.03624321334,
1076,Unconsolidated sand and gravel aquifers,100,Pacific Northwest basin-fill aquifers,104,5.42845930415,0.2687538318,
3028,Unconsolidated sand and gravel aquifers,100,California Coastal Basin aquifers,103,2.3343600825,0.05453969844,
1309,Unconsolidated sand and gravel aquifers,100,Pacific Northwest basin-fill aquifers,104,4.45336456691,0.08620337623,
1390,,999,Other rocks,999,26.9207641403,1.71733913649,
1607,Sandstone and carbonate-rock aquifers,500,Valley and Ridge carbonate-rock aquifers,505,27.409522306,0.36231188748,
1630,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,9.51861316188,0.36904685653,
2971,Carbonate-rock aquifers,400,Castle Hayne aquifer,418,0.01792903445,1.891719e-05,
1984,Sandstone aquifers,300,Early Mesozoic basin aquifers,308,3.46948879992,0.26126854763,
2042,Carbonate-rock aquifers,400,Ordovician aquifers,411,3.52765913825,0.11646306778,
2350,,999,Other rocks,999,18.5590200915,0.59967262341,
4228,Igneous and metamorphic-rock aquifers,600,Hawaiian Volcanic-rock aquifers,608,0.29075751018,0.00144987904,
2437,Unconsolidated sand and gravel aquifers,100,California Coastal Basin aquifers,103,9.03624362997,0.62038888668,
4234,Igneous and metamorphic-rock aquifers,600,Hawaiian Sedimentary deposit aquifers,609,0.57995254368,0.00136429111,
4505,Igneous and metamorphic-rock aquifers,600,Hawaiian Volcanic-rock aquifers,608,0.01230180067,3.05622e-06,
2734,Unconsolidated sand and gravel aquifers,100,Surficial aquifer system,111,78.7806860007,16.472599381,
2831,,999,Other rocks,999,0.06916843426,0.00031938754,
2911,,999,Other rocks,999,0.09120381793,0.00055522521,
4593,Unconsolidated sand and gravel aquifers,100,Puerto Rico south coast aquifer,114,4.38844894188,0.03276858369,
735,,999,Other rocks,999,8.18520184779,0.24908547719,
884,Carbonate-rock aquifers,400,New York and New England carbonate-rock aquifers,416,7.45186559155,0.32560477552,
2935,Sandstone and carbonate-rock aquifers,500,Edwards-Trinity aquifer system,501,32.7916232912,2.06872347454,
3902,,999,Other rocks,999,4.10412645688,0.21115932006,
2918,Sandstone and carbonate-rock aquifers,500,Valley and Ridge carbonate-rock aquifers,505,4.27185485214,0.18408617093,
4272,Igneous and metamorphic-rock aquifers,600,Hawaiian Sedimentary deposit aquifers,609,2.13825939896,0.01022723833,
2694,Carbonate-rock aquifers,400,Castle Hayne aquifer,418,6.19585180378,0.71789324217,
139,,999,Other rocks,999,0.02418704852,2.906075e-05,
2681,,999,Other rocks,999,0.08362412351,0.00049054961,
691,,999,Other rocks,999,0.190851457,0.00182563328,
3141,,999,Other rocks,999,0.11387652248,0.00076488224,
641,Carbonate-rock aquifers,400,Silurian-Devonian aquifers,410,0.02201324863,3.243295e-05,
3520,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02227651064,3.307804e-05,
703,Unconsolidated sand and gravel aquifers,100,Northern Rocky Mountains Intermontane Basins aquifer system,105,1.85433964085,0.06177779498,
140,,999,Other rocks,999,0.01968645362,2.651662e-05,
4143,,999,Other rocks,999,0.02362435991,3.749668e-05,
3629,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02196912436,2.969571e-05,
1702,,999,Other rocks,999,17.3935905292,0.87843645303,
1784,Sandstone aquifers,300,Lower Cretaceous aquifers,304,14.4199376375,0.89524769598,
1785,Unconsolidated sand and gravel aquifers,100,Central Valley aquifer system,106,23.610212481,5.35074893237,
1679,Sandstone and carbonate-rock aquifers,500,Valley and Ridge carbonate-rock aquifers,505,4.13826828528,0.13577838006,
1734,,999,Other rocks,999,132.763220434,13.8153295665,
1749,,999,Other rocks,999,0.1205913128,0.00094951004,
2507,Sandstone and carbonate-rock aquifers,500,Valley and Ridge aquifers,502,0.01245373025,6.66766e-06,
1810,Sandstone and carbonate-rock aquifers,500,Valley and Ridge aquifers,502,2.80104787708,0.03115998605,
1859,Sandstone and carbonate-rock aquifers,500,Mississippian aquifers,503,28.8721452129,2.39336394179,
1897,Sandstone aquifers,300,Pennsylvanian aquifers,310,2.60563191314,0.12462492419,
1928,Sandstone and carbonate-rock aquifers,500,Valley and Ridge aquifers,502,4.31766135733,0.16249368533,
1960,Carbonate-rock aquifers,400,Piedmont and Blue Ridge carbonate-rock aquifers,417,0.70451449948,0.01656613955,
1961,,999,Other rocks,999,11.8298604518,0.54294380381,
1783,Sandstone and carbonate-rock aquifers,500,Valley and Ridge carbonate-rock aquifers,505,22.7648309955,1.01871445986,
1825,Igneous and metamorphic-rock aquifers,600,Piedmont and Blue Ridge crystalline-rock aquifers,611,0.7257425285,0.01126071042,
1827,Sandstone and carbonate-rock aquifers,500,Mississippian aquifers,503,24.2832665884,0.87767253482,
1855,Unconsolidated sand and gravel aquifers,100,Basin and Range basin-fill aquifers,101,2.23644544198,0.05644661031,
2075,Sandstone and carbonate-rock aquifers,500,Valley and Ridge carbonate-rock aquifers,505,0.86921537648,0.01092925368,
